Date,gas_hsc_pct,gas_waha_pct,gas_all_pct,oil_midland_pct,oil_houston_pct,oil_all_pct,ngl_ethane_pct,ngl_propane_pct,ngl_n_butane_pct,ngl_iso_butane_pct,ngl_nat_gasoline_pct,ngl_all_pct
59171,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
59202,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
59230,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
59261,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
59291,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
59322,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
59352,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
59383,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
59414,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
59444,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
59475,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
59505,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
59536,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
59567,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
59595,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
59626,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
59656,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
59687,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
59717,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
59748,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
59779,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
59809,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
59840,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
59870,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
59901,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
59932,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
59961,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
59992,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
60022,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
60053,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
60083,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
60114,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
60145,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
60175,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
60206,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
60236,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
60267,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
60298,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
60326,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
60357,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
60387,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
60418,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
60448,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
60479,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
60510,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
60540,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
60571,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
60601,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
60632,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
60663,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
60691,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
60722,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
60752,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
60783,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
